"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 07월 04일","266,000","266,000","266,000","266,000","-","0.00%"
"2021년 07월 02일","266,000","267,500","267,500","264,500","347.12K","-0.56%"
"2021년 07월 01일","267,500","269,500","270,000","265,000","0.01K","-0.37%"
"2021년 06월 30일","268,500","265,500","271,000","265,000","0.02K","1.32%"
"2021년 06월 29일","265,000","265,500","268,000","263,500","0.18K","-0.38%"
"2021년 06월 28일","266,000","268,500","271,000","265,500","0.04K","0.19%"
"2021년 06월 27일","265,500","265,500","265,500","265,500","-","0.00%"
"2021년 06월 25일","265,500","279,500","281,000","261,000","1.09M","-4.67%"
"2021년 06월 24일","278,500","282,500","284,000","275,500","0.00K","-1.07%"
"2021년 06월 23일","281,500","275,000","284,000","274,500","0.81K","2.74%"
"2021년 06월 22일","274,000","280,000","280,500","273,500","0.01K","-2.32%"
"2021년 06월 21일","280,500","270,000","281,500","268,500","999.46K","3.89%"
"2021년 06월 20일","270,000","270,000","270,000","270,000","-","0.00%"
"2021년 06월 18일","270,000","269,000","272,000","269,000","469.99K","0.37%"
"2021년 06월 17일","269,000","270,000","272,000","268,500","0.55K","-0.92%"
"2021년 06월 16일","271,500","274,500","274,500","270,000","0.20K","-1.27%"
"2021년 06월 15일","275,000","281,000","281,000","275,000","0.73K","-2.14%"
"2021년 06월 14일","281,000","272,500","281,500","269,500","0.07K","5.84%"
"2021년 06월 13일","265,500","265,500","265,500","265,500","-","0.00%"
"2021년 06월 11일","265,500","267,000","271,500","264,500","485.40K","0.00%"
"2021년 06월 10일","265,500","263,500","267,000","261,000","0.59K","1.53%"
"2021년 06월 09일","261,500","270,500","271,000","261,500","0.25K","-2.79%"
"2021년 06월 08일","269,000","265,000","271,000","265,000","0.01K","1.70%"
"2021년 06월 07일","264,500","268,000","269,500","263,500","0.03K","-0.94%"
"2021년 06월 06일","267,000","267,000","267,000","267,000","-","0.00%"
"2021년 06월 04일","267,000","265,500","268,500","263,000","447.37K","0.19%"
"2021년 06월 03일","266,500","266,000","272,000","264,000","504.89K","0.00%"
"2021년 06월 02일","266,500","271,500","272,500","266,500","0.31K","-2.20%"
"2021년 06월 01일","272,500","275,500","275,500","270,500","0.35K","-0.73%"
"2021년 05월 31일","274,500","275,000","278,000","274,000","429.17K","0.37%"
"2021년 05월 30일","273,500","273,500","273,500","273,500","-","0.00%"
"2021년 05월 28일","273,500","269,500","276,000","268,000","534.90K","1.67%"
"2021년 05월 27일","269,000","270,500","272,000","265,000","0.06K","-0.55%"
"2021년 05월 26일","270,500","270,000","273,000","268,500","0.12K","-0.55%"
"2021년 05월 25일","272,000","262,500","272,000","261,000","0.73K","3.82%"
"2021년 05월 24일","262,000","269,000","269,000","261,500","0.00K","-2.42%"
"2021년 05월 23일","268,500","268,500","268,500","268,500","-","0.00%"
"2021년 05월 21일","268,500","272,000","276,000","268,500","445.57K","-0.56%"
"2021년 05월 20일","270,000","269,500","272,500","269,000","0.02K","-0.74%"
"2021년 05월 19일","272,000","272,000","272,000","272,000","-","0.00%"
"2021년 05월 18일","272,000","265,000","273,500","263,500","435.78K","0.93%"
"2021년 05월 17일","269,500","274,000","276,500","269,000","0.19K","-0.37%"
"2021년 05월 16일","270,500","270,500","270,500","270,500","-","0.00%"
"2021년 05월 14일","270,500","265,000","271,500","261,500","565.24K","2.08%"
"2021년 05월 13일","265,000","260,500","270,500","260,000","0.55K","0.95%"
"2021년 05월 12일","262,500","270,500","274,500","261,500","4.06K","-2.96%"
"2021년 05월 11일","270,500","273,500","276,500","266,500","0.31K","-1.64%"
"2021년 05월 10일","275,000","276,500","277,000","269,000","1.93K","3.19%"
"2021년 05월 09일","266,500","266,500","266,500","266,500","-","0.00%"
"2021년 05월 07일","266,500","253,500","272,000","253,000","1.29M","5.54%"
"2021년 05월 06일","252,500","260,000","261,500","251,000","1.14M","-2.88%"
"2021년 05월 05일","260,000","260,000","260,000","260,000","-","0.00%"
"2021년 05월 04일","260,000","245,500","260,500","244,000","1.78M","4.21%"
"2021년 05월 03일","249,500","265,000","268,000","248,500","1.87M","-6.20%"
"2021년 05월 02일","266,000","266,000","266,000","266,000","-","0.00%"
"2021년 04월 30일","266,000","270,000","273,000","265,000","684.21K","-0.93%"
"2021년 04월 29일","268,500","270,500","277,000","264,500","1.16K","-0.56%"
"2021년 04월 28일","270,000","272,500","282,000","266,500","0.72K","-1.46%"
