date,bank_price,bank_change
2021-02-10,8470,0.59%
2021-02-09,8420,-0.82%
2021-02-08,8490,3.16%
2021-02-07,8230,0.00%
2021-02-05,8230,1.48%
2021-02-04,8110,-1.58%
2021-02-03,8240,0.61%
2021-02-02,8190,0.37%
2021-02-01,8160,4.21%
2021-01-31,7830,0.00%
2021-01-29,7830,-3.09%
2021-01-28,8080,-1.94%
2021-01-27,8240,-0.48%
2021-01-26,8280,-1.66%
2021-01-25,8420,-0.71%
2021-01-24,8480,0.00%
2021-01-22,8480,-1.05%
2021-01-21,8570,0.12%
2021-01-20,8560,-0.81%
2021-01-19,8630,0.82%
2021-01-18,8560,-1.27%
2021-01-17,8670,0.00%
2021-01-15,8670,-1.92%
2021-01-14,8840,-0.45%
2021-01-13,8880,2.30%
2021-01-12,8680,0.12%
2021-01-11,8670,-1.81%
2021-01-10,8830,0.00%
2021-01-08,8830,-0.45%
2021-01-07,8870,1.95%
2021-01-06,8700,-0.11%
2021-01-05,8710,1.04%
2021-01-04,8620,-2.49%
