date,celltrion_price,celltrion_change
2021-02-25,308000,9.22%
2021-02-24,282000,-4.73%
2021-02-23,296000,-4.36%
2021-02-22,309500,-2.83%
2021-02-21,318500,0.00%
2021-02-19,318500,1.27%
2021-02-18,314500,-2.18%
2021-02-17,321500,-1.08%
2021-02-16,325000,-2.40%
2021-02-15,333000,0.30%
2021-02-14,332000,0.00%
2021-02-10,332000,1.22%
2021-02-09,328000,-2.38%
2021-02-08,336000,-1.61%
2021-02-07,341500,0.00%
2021-02-05,341500,0.00%
2021-02-04,341500,-1.73%
2021-02-03,347500,-2.25%
2021-02-02,355500,-4.18%
2021-02-01,371000,14.51%
2021-01-31,324000,0.00%
2021-01-29,324000,-3.14%
2021-01-28,334500,1.67%
2021-01-27,329000,2.02%
2021-01-26,322500,0.47%
2021-01-25,321000,3.55%
2021-01-24,310000,0.00%
2021-01-22,310000,-0.64%
2021-01-21,312000,0.32%
2021-01-20,311000,-0.48%
2021-01-19,312500,-0.48%
2021-01-18,314000,-4.56%
2021-01-17,329000,0.00%
2021-01-15,329000,-6.67%
2021-01-14,352500,-7.60%
2021-01-13,381500,-0.65%
2021-01-12,384000,2.67%
2021-01-11,374000,1.91%
2021-01-10,367000,0.00%
2021-01-08,367000,2.66%
2021-01-07,357500,1.13%
2021-01-06,353500,-0.28%
2021-01-05,354500,2.01%
2021-01-04,347500,-3.20%
