date,naver_price,naver_change
2021-02-23,390500,1.03%
2021-02-22,386500,-2.89%
2021-02-21,398000,0.00%
2021-02-19,398000,2.58%
2021-02-18,388000,-1.02%
2021-02-17,392000,-0.51%
2021-02-16,394000,2.20%
2021-02-15,385500,5.18%
2021-02-14,366500,0.00%
2021-02-10,366500,2.23%
2021-02-09,358500,0.28%
2021-02-08,357500,-1.38%
2021-02-07,362500,0.00%
2021-02-05,362500,1.26%
2021-02-04,358000,-3.37%
2021-02-03,370500,2.21%
2021-02-02,362500,4.17%
2021-02-01,348000,1.46%
2021-01-31,343000,0.00%
2021-01-29,343000,-3.38%
2021-01-28,355000,3.95%
2021-01-27,341500,-0.15%
2021-01-26,342000,-2.01%
2021-01-25,349000,1.60%
2021-01-24,343500,0.00%
2021-01-22,343500,6.51%
2021-01-21,322500,4.71%
2021-01-20,308000,0.00%
2021-01-19,308000,2.50%
2021-01-18,300500,-1.80%
2021-01-17,306000,0.00%
2021-01-15,306000,-3.77%
2021-01-14,318000,1.27%
2021-01-13,314000,3.29%
2021-01-12,304000,-1.62%
2021-01-11,309000,-0.96%
2021-01-10,312000,0.00%
2021-01-08,312000,7.77%
2021-01-07,289500,-0.17%
2021-01-06,290000,-0.85%
2021-01-05,292500,-0.17%
2021-01-04,293000,0.17%
