"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 07월 15일","10,350","10,250","10,350","10,150","2.15K","1.47%"
"2021년 07월 14일","10,200","10,300","10,300","10,200","0.50K","-1.45%"
"2021년 07월 13일","10,350","10,300","10,400","10,300","0.16K","0.98%"
"2021년 07월 12일","10,250","10,150","10,300","10,150","0.06K","1.99%"
"2021년 07월 11일","10,050","10,050","10,050","10,050","-","0.00%"
"2021년 07월 09일","10,050","10,150","10,150","9,950","3.31M","-2.43%"
"2021년 07월 08일","10,300","10,400","10,400","10,300","0.02K","-0.96%"
"2021년 07월 07일","10,400","10,400","10,400","10,300","1.59M","-0.95%"
"2021년 07월 06일","10,500","10,400","10,500","10,400","0.12K","0.48%"
"2021년 07월 05일","10,450","10,500","10,500","10,350","0.25K","0.00%"
"2021년 07월 02일","10,450","10,400","10,450","10,350","836.57K","0.97%"
"2021년 07월 01일","10,350","10,450","10,500","10,350","1.49M","-1.43%"
"2021년 06월 30일","10,500","10,550","10,600","10,450","0.25K","0.00%"
"2021년 06월 29일","10,500","10,650","10,650","10,500","0.80K","-1.41%"
"2021년 06월 28일","10,650","10,700","10,800","10,600","0.43K","0.00%"
"2021년 06월 27일","10,650","10,650","10,650","10,650","-","0.00%"
"2021년 06월 25일","10,650","10,650","10,700","10,550","1.48M","0.95%"
"2021년 06월 24일","10,550","10,400","10,550","10,350","0.24K","1.44%"
"2021년 06월 23일","10,400","10,500","10,500","10,350","1.39K","-0.95%"
"2021년 06월 22일","10,500","10,500","10,550","10,400","1.09M","1.45%"
"2021년 06월 21일","10,350","10,350","10,450","10,300","2.33M","-1.43%"
"2021년 06월 20일","10,500","10,500","10,500","10,500","-","0.00%"
"2021년 06월 18일","10,500","10,600","10,650","10,500","2.02M","-1.87%"
"2021년 06월 17일","10,700","10,900","10,950","10,650","0.26K","-1.38%"
"2021년 06월 16일","10,850","10,600","10,900","10,600","0.14K","2.36%"
"2021년 06월 15일","10,600","10,550","10,650","10,500","1.20K","0.00%"
"2021년 06월 14일","10,600","10,650","10,700","10,500","0.62K","-0.47%"
"2021년 06월 13일","10,650","10,650","10,650","10,650","-","0.00%"
"2021년 06월 11일","10,650","10,600","10,700","10,500","1.49M","0.00%"
"2021년 06월 10일","10,650","10,850","10,850","10,600","0.45K","-1.84%"
"2021년 06월 09일","10,850","10,950","11,000","10,850","0.03K","-1.36%"
"2021년 06월 08일","11,000","11,000","11,100","10,900","1.63M","0.00%"
"2021년 06월 07일","11,000","10,900","11,050","10,850","0.23K","0.46%"
"2021년 06월 06일","10,950","10,950","10,950","10,950","-","0.00%"
"2021년 06월 04일","10,950","10,800","11,150","10,800","2.70M","1.39%"
"2021년 06월 03일","10,800","10,850","11,000","10,800","2.04M","0.00%"
"2021년 06월 02일","10,800","10,800","10,850","10,700","1.32M","0.47%"
"2021년 06월 01일","10,750","10,850","10,850","10,600","2.31K","-0.46%"
"2021년 05월 31일","10,800","10,900","10,950","10,700","1.86M","-0.46%"
"2021년 05월 30일","10,850","10,850","10,850","10,850","-","0.00%"
"2021년 05월 28일","10,850","10,600","10,900","10,600","2.19M","3.33%"
"2021년 05월 27일","10,500","10,700","10,700","10,500","2.44M","-1.87%"
"2021년 05월 26일","10,700","10,600","10,700","10,550","0.05K","0.00%"
"2021년 05월 25일","10,700","10,600","10,700","10,550","0.57K","0.94%"
"2021년 05월 24일","10,600","10,450","10,750","10,350","0.05K","0.95%"
"2021년 05월 23일","10,500","10,500","10,500","10,500","-","0.00%"
"2021년 05월 21일","10,500","10,850","10,850","10,400","2.81M","-2.78%"
"2021년 05월 20일","10,800","10,950","11,050","10,700","0.21K","-1.82%"
"2021년 05월 19일","11,000","11,000","11,000","11,000","-","0.00%"
"2021년 05월 18일","11,000","10,800","11,100","10,800","2.70M","1.85%"
"2021년 05월 17일","10,800","10,700","10,850","10,550","0.37K","0.93%"
"2021년 05월 16일","10,700","10,700","10,700","10,700","-","0.00%"
"2021년 05월 14일","10,700","10,650","10,850","10,500","2.63M","0.47%"
"2021년 05월 13일","10,650","10,100","10,900","10,050","0.81K","3.90%"
"2021년 05월 12일","10,250","10,400","10,400","10,050","5.55K","-1.44%"
"2021년 05월 11일","10,400","10,250","10,500","10,200","0.98K","0.97%"
"2021년 05월 10일","10,300","10,250","10,400","10,050","1.60K","0.98%"
"2021년 05월 09일","10,200","10,200","10,200","10,200","-","0.00%"
"2021년 05월 07일","10,200","10,250","10,350","10,100","3.24M","0.49%"
"2021년 05월 06일","10,150","9,600","10,150","9,590","8.63M","6.62%"
"2021년 05월 04일","9,520","9,530","9,640","9,380","2.12M","0.00%"
"2021년 05월 03일","9,520","9,700","9,700","9,520","2.44M","-1.75%"
"2021년 05월 02일","9,690","9,690","9,690","9,690","-","0.00%"
"2021년 04월 30일","9,690","9,530","9,730","9,530","3.67M","1.89%"
"2021년 04월 29일","9,510","9,660","9,730","9,500","1.01K","-0.83%"
"2021년 04월 28일","9,590","9,490","9,680","9,480","0.02K","1.37%"
"2021년 04월 27일","9,460","9,430","9,470","9,370","1.30K","0.75%"
"2021년 04월 26일","9,390","9,340","9,480","9,330","0.01K","0.97%"
"2021년 04월 25일","9,300","9,300","9,300","9,300","-","0.00%"
"2021년 04월 23일","9,300","9,220","9,320","9,180","2.44M","0.76%"
"2021년 04월 22일","9,230","9,170","9,240","9,150","0.03K","0.98%"
"2021년 04월 21일","9,140","9,200","9,220","9,130","1.52M","-0.87%"
"2021년 04월 20일","9,220","9,130","9,220","9,120","0.02K","0.77%"
