date,naver_price,naver_change,up_count,down_count,news_up_count,news_down_count
2021-06-07,362500,1.54,1,0,3.0,22.0
2021-06-06,357000,0.0,0,0,0.0,3.0
2021-06-04,357000,-1.38,0,1,0.0,11.0
2021-06-03,362000,-0.28,1,1,1.0,5.0
2021-06-02,363000,-1.09,0,1,5.0,9.0
2021-06-01,367000,1.24,0,0,2.0,7.0
2021-05-31,362500,1.26,0,2,4.0,3.0
2021-05-30,358000,0.0,0,0,3.0,3.0
2021-05-28,358000,0.0,0,0,2.0,9.0
2021-05-27,358000,-1.38,0,0,16.0,4.0
2021-05-26,363000,1.4,1,0,3.0,12.0
2021-05-25,358000,0.7,1,0,11.0,16.0
2021-05-24,355500,-1.25,2,0,13.0,8.0
2021-05-23,360000,0.0,0,0,3.0,1.0
2021-05-21,360000,2.56,0,0,0.0,1.0
2021-05-20,351000,0.43,0,0,1.0,10.0
2021-05-19,349500,0.0,0,0,4.0,8.0
2021-05-18,349500,1.6,0,0,3.0,6.0
2021-05-17,344000,0.44,1,0,2.0,3.0
2021-05-16,342500,0.0,0,0,4.0,2.0
2021-05-14,342500,1.48,0,0,2.0,4.0
2021-05-13,337500,-1.6,1,0,8.0,4.0
2021-05-12,343000,-1.72,1,0,2.0,6.0
2021-05-11,349000,-3.59,1,2,7.0,3.0
2021-05-10,362000,0.28,0,0,5.0,7.0
2021-05-09,361000,0.0,0,0,6.0,6.0
2021-05-07,361000,-0.14,0,0,8.0,3.0
2021-05-06,361500,-0.82,0,1,6.0,10.0
2021-05-05,364500,0.0,0,0,1.0,3.0
2021-05-04,364500,0.41,0,0,2.0,9.0
2021-05-03,363000,0.97,1,0,1.0,2.0
2021-05-02,359500,0.0,0,0,3.0,0.0
2021-04-30,359500,-1.91,2,1,1.0,11.0
2021-04-29,366500,-1.87,1,1,6.0,8.0
2021-04-28,373500,-1.71,0,0,4.0,6.0
2021-04-27,380000,0.66,2,0,6.0,8.0
2021-04-26,377500,-0.13,1,0,1.0,10.0
2021-04-25,378000,0.0,1,0,1.0,4.0
2021-04-23,378000,-0.66,0,1,8.0,2.0
2021-04-22,380500,0.0,0,0,6.0,4.0
2021-04-21,380500,-2.69,0,0,3.0,8.0
2021-04-20,391000,0.26,1,0,2.0,3.0
2021-04-19,390000,-0.38,1,0,2.0,5.0
2021-04-18,391500,0.0,0,0,0.0,3.0
2021-04-16,391500,0.13,0,0,2.0,3.0
2021-04-15,391000,-0.13,0,0,6.0,5.0
2021-04-14,391500,0.77,1,1,5.0,10.0
2021-04-13,388500,0.78,1,0,5.0,7.0
2021-04-12,385500,0.52,2,0,5.0,7.0
2021-04-11,383500,0.0,0,0,3.0,0.0
2021-04-09,383500,0.52,0,0,1.0,1.0
2021-04-08,381500,-0.78,4,2,1.0,7.0
2021-04-07,384500,-1.03,0,0,7.0,8.0
2021-04-06,388500,3.05,0,0,4.0,4.0
2021-04-05,377000,-0.66,1,0,2.0,7.0
2021-04-04,379500,0.0,0,0,0.0,2.0
2021-04-02,379500,0.26,0,1,1.0,2.0
2021-04-01,378500,0.4,0,0,2.0,3.0
2021-03-31,377000,0.13,1,0,4.0,0.0
2021-03-30,376500,1.21,1,0,4.0,7.0
2021-03-29,372000,-2.87,0,1,4.0,5.0
2021-03-28,383000,0.0,0,0,1.0,0.0
2021-03-26,383000,0.79,1,0,4.0,2.0
2021-03-25,380000,-1.81,0,0,4.0,5.0
2021-03-24,387000,0.26,1,0,4.0,4.0
2021-03-23,386000,-2.65,0,2,6.0,3.0
2021-03-22,396500,-1.37,2,1,3.0,7.0
2021-03-21,402000,0.0,0,0,1.0,2.0
2021-03-19,402000,-0.37,2,0,4.0,3.0
2021-03-18,403500,5.22,5,2,9.0,2.0
2021-03-17,383500,-0.52,0,0,6.0,16.0
2021-03-16,385500,0.65,1,0,8.0,8.0
2021-03-15,383000,0.66,0,1,2.0,4.0
2021-03-14,380500,0.0,0,0,1.0,3.0
2021-03-12,380500,1.87,2,0,3.0,3.0
2021-03-11,373500,0.4,2,0,3.0,6.0
2021-03-10,372000,2.9,6,2,2.0,8.0
2021-03-09,361500,-1.9,2,2,3.0,11.0
2021-03-08,368500,-2.38,9,0,2.0,4.0
2021-03-07,377500,0.0,0,0,2.0,7.0
2021-03-05,377500,-3.58,0,0,1.0,3.0
2021-03-04,391500,-2.0,4,0,3.0,2.0
2021-03-03,399500,5.83,2,0,9.0,13.0
2021-03-02,377500,0.67,1,0,5.0,15.0
2021-03-01,375000,0.0,0,0,6.0,8.0
2021-02-26,375000,-2.09,1,1,2.0,3.0
2021-02-25,383000,2.41,0,0,10.0,4.0
2021-02-24,374000,-4.23,3,0,6.0,13.0
2021-02-23,390500,1.03,1,0,2.0,3.0
2021-02-22,386500,-2.89,3,0,1.0,1.0
2021-02-21,398000,0.0,0,0,2.0,1.0
2021-02-19,398000,2.58,3,1,1.0,3.0
2021-02-18,388000,-1.02,5,0,5.0,4.0
2021-02-17,392000,-0.51,1,0,2.0,5.0
2021-02-16,394000,2.2,5,0,7.0,7.0
2021-02-15,385500,5.18,9,1,8.0,5.0
2021-02-14,366500,0.0,0,0,1.0,2.0
2021-02-10,366500,2.23,2,0,1.0,4.0
2021-02-09,358500,0.28,1,0,3.0,6.0
2021-02-08,357500,-1.38,1,0,1.0,2.0
2021-02-07,362500,0.0,0,0,,
2021-02-05,362500,1.26,0,1,2.0,6.0
2021-02-04,358000,-3.37,1,0,4.0,12.0
2021-02-03,370500,2.21,1,0,7.0,12.0
2021-02-02,362500,4.17,2,3,7.0,6.0
2021-02-01,348000,1.46,1,0,4.0,4.0
2021-01-31,343000,0.0,0,0,9.0,5.0
2021-01-29,343000,-3.38,7,2,4.0,4.0
2021-01-28,355000,3.95,3,2,14.0,12.0
2021-01-27,341500,-0.15,0,0,10.0,8.0
2021-01-26,342000,-2.01,1,0,5.0,5.0
2021-01-25,349000,1.6,2,0,5.0,2.0
2021-01-24,343500,0.0,0,0,3.0,3.0
2021-01-22,343500,6.51,7,1,3.0,5.0
2021-01-21,322500,4.71,1,2,10.0,4.0
2021-01-20,308000,0.0,1,0,10.0,8.0
2021-01-19,308000,2.5,0,0,4.0,1.0
2021-01-18,300500,-1.8,2,1,2.0,5.0
2021-01-17,306000,0.0,0,0,0.0,1.0
2021-01-15,306000,-3.77,2,0,1.0,1.0
2021-01-14,318000,1.27,2,1,1.0,1.0
2021-01-13,314000,3.29,0,4,2.0,8.0
2021-01-12,304000,-1.62,2,0,2.0,2.0
2021-01-11,309000,-0.96,1,1,3.0,4.0
2021-01-10,312000,0.0,0,0,1.0,1.0
2021-01-08,312000,7.77,1,1,7.0,7.0
2021-01-07,289500,-0.17,2,1,3.0,1.0
2021-01-06,290000,-0.85,0,0,1.0,4.0
2021-01-05,292500,-0.17,1,2,3.0,2.0
2021-01-04,293000,0.17,0,0,1.0,4.0
